model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
Logistic Regression,age,[0-10),26,0.0,,0.0,0.0,0.5299999999999999
Logistic Regression,age,[10-20),95,0.06315789473684211,0.17279228649091663,0.3333333333333333,0.2,0.5299999999999999
Logistic Regression,age,[20-30),248,0.1532258064516129,0.45834297271374846,0.7368421052631579,0.3010752688172043,0.5299999999999999
Logistic Regression,age,[30-40),564,0.10815602836879433,0.2742761903935701,0.5409836065573771,0.2357142857142857,0.5299999999999999
Logistic Regression,age,[40-50),1401,0.10278372591006424,0.23917453476372103,0.5486111111111112,0.19174757281553398,0.5299999999999999
Logistic Regression,age,[50-60),2600,0.09192307692307693,0.18933807963716967,0.41841004184100417,0.17123287671232876,0.5299999999999999
Logistic Regression,age,[60-70),3405,0.11600587371512482,0.22841662499349608,0.44556962025316454,0.191512513601741,0.5299999999999999
Logistic Regression,age,[70-80),3966,0.11699445284921836,0.20136520955242465,0.5086206896551724,0.17151162790697674,0.5299999999999999
Logistic Regression,age,[80-90),2544,0.11988993710691824,0.17714171331109102,0.4885245901639344,0.16537180910099888,0.5299999999999999
Logistic Regression,age,[90-100),416,0.12259615384615384,0.2051182312888647,0.5686274509803921,0.20863309352517986,0.5299999999999999
Logistic Regression,gender,Female,8168,0.11287952987267386,0.21459663033777504,0.5,0.18626262626262627,0.5299999999999999
Logistic Regression,gender,Male,7096,0.11006200676437429,0.2096952748418079,0.47503201024327785,0.17675083373034778,0.5299999999999999
XGBoost,age,[0-10),26,0.0,,0.0,0.0,0.3999999999999999
XGBoost,age,[10-20),95,0.06315789473684211,0.22332543273719743,0.3333333333333333,0.2857142857142857,0.3999999999999999
XGBoost,age,[20-30),248,0.1532258064516129,0.46757669080674813,0.7631578947368421,0.3972602739726027,0.3999999999999999
XGBoost,age,[30-40),564,0.10815602836879433,0.24215721572283927,0.4098360655737705,0.23809523809523808,0.3999999999999999
XGBoost,age,[40-50),1401,0.10278372591006424,0.27225891018266846,0.5,0.225,0.3999999999999999
XGBoost,age,[50-60),2600,0.09192307692307693,0.2212533651569596,0.3723849372384937,0.21654501216545013,0.3999999999999999
XGBoost,age,[60-70),3405,0.11600587371512482,0.24148955326697208,0.4,0.22998544395924309,0.3999999999999999
XGBoost,age,[70-80),3966,0.11699445284921836,0.2128917569463657,0.39870689655172414,0.20174482006543076,0.3999999999999999
XGBoost,age,[80-90),2544,0.11988993710691824,0.19473958936407032,0.3836065573770492,0.18962722852512157,0.3999999999999999
XGBoost,age,[90-100),416,0.12259615384615384,0.19327689431683567,0.3137254901960784,0.19047619047619047,0.3999999999999999
