model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
Logistic Regression,age,[0-10),28,0.0,,0.0,0.0,0.5199999999999999
Logistic Regression,age,[10-20),101,0.06930693069306931,0.0958668543836403,0.14285714285714285,0.07692307692307693,0.5199999999999999
Logistic Regression,age,[20-30),233,0.08583690987124463,0.10139747540173706,0.1,0.04081632653061224,0.5199999999999999
Logistic Regression,age,[30-40),527,0.09487666034155598,0.338750857979219,0.7,0.23026315789473684,0.5199999999999999
Logistic Regression,age,[40-50),1468,0.11307901907356949,0.28058348712198866,0.46987951807228917,0.2125340599455041,0.5199999999999999
Logistic Regression,age,[50-60),2553,0.09479044261652958,0.2009771425971957,0.47520661157024796,0.18668831168831168,0.5199999999999999
Logistic Regression,age,[60-70),3478,0.11242093156986774,0.2298295195892598,0.5217391304347826,0.18545454545454546,0.5199999999999999
Logistic Regression,age,[70-80),3838,0.11594580510682648,0.17457383981348878,0.4764044943820225,0.1627014581734459,0.5199999999999999
Logistic Regression,age,[80-90),2638,0.1197877179681577,0.1864048730096723,0.5411392405063291,0.16056338028169015,0.5199999999999999
Logistic Regression,age,[90-100),399,0.12030075187969924,0.1711567416640711,0.4375,0.14383561643835616,0.5199999999999999
Logistic Regression,gender,Female,8158,0.11142436871782299,0.19178410725464923,0.49504950495049505,0.1717557251908397,0.5199999999999999
Logistic Regression,gender,Male,7105,0.10921885995777621,0.22178397652431125,0.5012886597938144,0.1775445002282063,0.5199999999999999
XGBoost,age,[0-10),28,0.0,,0.0,0.0,0.49499999999999994
XGBoost,age,[10-20),101,0.06930693069306931,0.12165463826951989,0.2857142857142857,0.15384615384615385,0.49499999999999994
XGBoost,age,[20-30),233,0.08583690987124463,0.1080224807146617,0.2,0.12903225806451613,0.49499999999999994
XGBoost,age,[30-40),527,0.09487666034155598,0.32059579661907656,0.56,0.28865979381443296,0.49499999999999994
XGBoost,age,[40-50),1468,0.11307901907356949,0.2695900681568414,0.3795180722891566,0.25301204819277107,0.49499999999999994
XGBoost,age,[50-60),2553,0.09479044261652958,0.1977946102869287,0.3677685950413223,0.20601851851851852,0.49499999999999994
XGBoost,age,[60-70),3478,0.11242093156986774,0.245812672543002,0.4040920716112532,0.22128851540616246,0.49499999999999994
XGBoost,age,[70-80),3838,0.11594580510682648,0.21193184612913685,0.38202247191011235,0.1990632318501171,0.49499999999999994
XGBoost,age,[80-90),2638,0.1197877179681577,0.1966032848873232,0.3924050632911392,0.1875945537065053,0.49499999999999994
XGBoost,age,[90-100),399,0.12030075187969924,0.15409984855611197,0.2916666666666667,0.175,0.49499999999999994
XGBoost,gender,Female,8158,0.11142436871782299,0.20290679087729252,0.39383938393839385,0.2058654399079931,0.49499999999999994
XGBoost,gender,Male,7105,0.10921885995777621,0.23754054243109143,0.3788659793814433,0.21120689655172414,0.49499999999999994
XGBoost Calibrated,age,[0-10),28,0.0,,0.0,0.0,0.135
XGBoost Calibrated,age,[10-20),101,0.06930693069306931,0.11241951467131021,0.2857142857142857,0.15384615384615385,0.135
XGBoost Calibrated,age,[20-30),233,0.08583690987124463,0.10226821096643804,0.2,0.12903225806451613,0.135
