model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
Logistic Regression,age,[40-50),25,0.0,,0.0,0.0,0.38999999999999996
Logistic Regression,age,[50-60),39,0.15384615384615385,0.175340708674042,0.3333333333333333,0.18181818181818182,0.38999999999999996
Logistic Regression,age,[60-70),47,0.0851063829787234,0.14726731601731602,0.75,0.14285714285714285,0.38999999999999996
Logistic Regression,age,[70-80),45,0.13333333333333333,0.4057623380204025,0.6666666666666666,0.2222222222222222,0.38999999999999996
Logistic Regression,age,[80-90),48,0.14583333333333334,0.18814719867880264,0.2857142857142857,0.15384615384615385,0.38999999999999996
Logistic Regression,gender,Female,124,0.11290322580645161,0.20931552793535843,0.35714285714285715,0.125,0.38999999999999996
Logistic Regression,gender,Male,101,0.10891089108910891,0.20835060565414956,0.6363636363636364,0.22580645161290322,0.38999999999999996
XGBoost,age,[40-50),25,0.0,,0.0,0.0,0.35999999999999993
XGBoost,age,[50-60),39,0.15384615384615385,0.5825008325008325,0.8333333333333334,0.35714285714285715,0.35999999999999993
XGBoost,age,[60-70),47,0.0851063829787234,0.20679824561403506,1.0,0.15384615384615385,0.35999999999999993
XGBoost,age,[70-80),45,0.13333333333333333,0.2864592094196804,0.8333333333333334,0.16666666666666666,0.35999999999999993
XGBoost,age,[80-90),48,0.14583333333333334,0.25916739901702307,0.42857142857142855,0.14285714285714285,0.35999999999999993
XGBoost,gender,Female,124,0.11290322580645161,0.30611495912268394,0.5714285714285714,0.13114754098360656,0.35999999999999993
XGBoost,gender,Male,101,0.10891089108910891,0.21830585758713347,0.9090909090909091,0.18867924528301888,0.35999999999999993
MLP,age,[40-50),25,0.0,,0.0,0.0,0.05
MLP,age,[50-60),39,0.15384615384615385,0.5636574074074073,0.0,0.0,0.05
MLP,age,[60-70),47,0.0851063829787234,0.4329545454545455,0.0,0.0,0.05
MLP,age,[70-80),45,0.13333333333333333,0.7732142857142856,0.0,0.0,0.05
MLP,age,[80-90),48,0.14583333333333334,0.16043091828806114,0.0,0.0,0.05
MLP,gender,Female,124,0.11290322580645161,0.4180983748106759,0.0,0.0,0.05
MLP,gender,Male,101,0.10891089108910891,0.2954837585323513,0.0,0.0,0.05
Stacking,age,[40-50),25,0.0,,0.0,0.0,0.4799999999999999
Stacking,age,[50-60),39,0.15384615384615385,0.5825008325008325,0.8333333333333334,0.35714285714285715,0.4799999999999999
Stacking,age,[60-70),47,0.0851063829787234,0.20679824561403506,1.0,0.15384615384615385,0.4799999999999999
Stacking,age,[70-80),45,0.13333333333333333,0.2864592094196804,0.8333333333333334,0.16666666666666666,0.4799999999999999
Stacking,age,[80-90),48,0.14583333333333334,0.25916739901702307,0.42857142857142855,0.14285714285714285,0.4799999999999999
Stacking,gender,Female,124,0.11290322580645161,0.30611495912268394,0.5714285714285714,0.13114754098360656,0.4799999999999999
Stacking,gender,Male,101,0.10891089108910891,0.21830585758713347,0.9090909090909091,0.18867924528301888,0.4799999999999999
