model,split,threshold_source,recall_target,min_recall,runtime_seconds,threshold,precision,recall,specificity,f1,tn,fp,fn,tp
Logistic Regression,test,val_max_f1,False,0.6,15.733318249986041,0.5299999999999999,0.18189768255356362,0.48854961832061067,0.7240819938062233,0.26509479050501833,9820,3742,871,832
Logistic Regression (recall target),test,val_recall_0.6,True,0.6,15.733318249986041,0.48499999999999993,0.16700749829584186,0.5754550792718731,0.6395811827164135,0.25888257825914673,8674,4888,723,980
XGBoost Tuned,test,val_max_f1,False,0.6,5683.174083207967,0.3999999999999999,0.21515057435579013,0.40692894891368175,0.8135968146291107,0.2814784727863526,11034,2528,1010,693
XGBoost Tuned (recall target),test,val_recall_0.6,True,0.6,5683.174083207967,0.32999999999999996,0.18360234776228906,0.5877862595419847,0.671803568795163,0.2798043326345213,9111,4451,702,1001
XGBoost Tuned Calibrated,test,val_max_f1,False,0.6,0.006841583992354572,0.14999999999999997,0.21770257077774163,0.3928361714621257,0.8227400088482525,0.28015075376884424,11158,2404,1034,669
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,True,0.6,0.006841583992354572,0.09999999999999999,0.17238080051028545,0.634762184380505,0.6173130806665683,0.2711311763230499,8372,5190,622,1081
LightGBM Tuned,test,val_max_f1,False,0.6,64.24092858302174,0.27499999999999997,0.22343221930153961,0.34938344098649443,0.8475151157646365,0.27256069628950985,11494,2068,1108,595
LightGBM Tuned (recall target),test,val_recall_0.6,True,0.6,64.24092858302174,0.19999999999999996,0.18051001821493626,0.5819142689371697,0.6682642678071081,0.2755456694008063,9063,4499,712,991
CatBoost Tuned,test,val_max_f1,False,0.6,389.50347541703377,0.145,0.21273242987708793,0.3963593658250147,0.815808877746645,0.27686628383921247,11064,2498,1028,675
CatBoost Tuned (recall target),test,val_recall_0.6,True,0.6,389.50347541703377,0.10999999999999999,0.18305814788226848,0.5989430416911333,0.6643562896327975,0.2804123711340206,9010,4552,683,1020
Residual MLP Focal,test,val_max_f1,False,0.6,108.81757474999176,0.4649999999999999,0.21514694800301432,0.33529066353493836,0.8464090842058694,0.2621069543263714,11479,2083,1132,571
Residual MLP Focal (recall target),test,val_recall_0.6,True,0.6,108.81757474999176,0.43499999999999994,0.17349939456841376,0.5889606576629477,0.6476920808140392,0.2680384820951363,8784,4778,700,1003
TabTransformer,test,val_max_f1,False,0.6,221.82472104101907,0.42999999999999994,0.2055805003207184,0.3763945977686436,0.8173573219289191,0.2659199336237295,11085,2477,1062,641
TabTransformer (recall target),test,val_recall_0.6,True,0.6,221.82472104101907,0.3999999999999999,0.17461394875275751,0.6042278332354668,0.641350833210441,0.27093206951026855,8698,4864,674,1029
TabM-Style Ensemble MLP,test,val_max_f1,False,0.6,128.5280927499989,0.42499999999999993,0.20630547903275176,0.3957721667645332,0.8088040112077864,0.2712273641851107,10969,2593,1029,674
TabM-Style Ensemble MLP (recall target),test,val_recall_0.6,True,0.6,128.5280927499989,0.3999999999999999,0.17737926136363635,0.5866118614210217,0.6583837192154549,0.2723926380368098,8929,4633,704,999
TabNet,test,val_max_f1,False,0.6,1158.5974334169878,0.25499999999999995,0.15392996108949417,0.5807398708162067,0.5991741631027871,0.24335629921259844,8126,5436,714,989
TabNet (recall target),test,val_recall_0.6,True,0.6,1158.5974334169878,0.25999999999999995,0.15414588528678305,0.5807398708162067,0.5998377820380475,0.24362606232294617,8135,5427,714,989
Weighted XGBoost+TabNet Ensemble,test,val_max_f1,False,0.6,0.07958858303027228,0.4049999999999999,0.21660766012230448,0.39518496770405165,0.8205279457307182,0.27983367983367985,11128,2434,1030,673
Weighted XGBoost+TabNet Ensemble (recall target),test,val_recall_0.6,True,0.6,0.07958858303027228,0.32999999999999996,0.18360234776228906,0.5877862595419847,0.671803568795163,0.2798043326345213,9111,4451,702,1001
Weighted XGBoost+LightGBM Ensemble,test,val_max_f1,False,0.6,0.07506112504051998,0.35999999999999993,0.22830111065405184,0.3258954785672343,0.8616723197168559,0.26850507982583455,11686,1876,1148,555
Weighted XGBoost+LightGBM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.07506112504051998,0.26499999999999996,0.18310636731689364,0.5842630651790958,0.6726883940421766,0.2788286394843772,9123,4439,708,995
Weighted XGBoost+CatBoost Ensemble,test,val_max_f1,False,0.6,0.07970629096962512,0.195,0.20942982456140352,0.4486200822078685,0.7873469989677039,0.28555410203700243,10678,2884,939,764
Weighted XGBoost+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.07970629096962512,0.16499999999999998,0.18559970154821862,0.5842630651790958,0.6780710809615101,0.2817100792751982,9196,4366,708,995
Weighted XGBoost+LightGBM+CatBoost Ensemble,test,val_max_f1,False,0.6,0.735976625001058,0.21499999999999997,0.2136094674556213,0.42395772166764534,0.8040112077864622,0.28408420224277003,10904,2658,981,722
Weighted XGBoost+LightGBM+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.735976625001058,0.175,0.183201907207042,0.5866118614210217,0.6715823624834095,0.2792062604807155,9108,4454,704,999
Weighted XGBoost+TabTransformer Ensemble,test,val_max_f1,False,0.6,0.0729149580001831,0.4149999999999999,0.21676300578034682,0.3963593658250147,0.8201592685444624,0.280257421631721,11123,2439,1028,675
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,True,0.6,0.0729149580001831,0.35999999999999993,0.17945926329159861,0.5807398708162067,0.6665683527503318,0.2741890767951206,9040,4522,714,989
Weighted XGBoost+TabM Ensemble,test,val_max_f1,False,0.6,0.07346174999838695,0.4099999999999999,0.21563760471610302,0.40810334703464474,0.8135968146291107,0.28217620787657327,11034,2528,1008,695
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.07346174999838695,0.35999999999999993,0.18427980443775854,0.5754550792718731,0.6801356732045422,0.27916251246261214,9224,4338,723,980
Weighted XGBoost+BestDeep(TabM) Ensemble,test,val_max_f1,False,0.6,0.07290058303624392,0.4099999999999999,0.21563760471610302,0.40810334703464474,0.8135968146291107,0.28217620787657327,11034,2528,1008,695
Weighted XGBoost+BestDeep(TabM) Ensemble (recall target),test,val_recall_0.6,True,0.6,0.07290058303624392,0.35999999999999993,0.18427980443775854,0.5754550792718731,0.6801356732045422,0.27916251246261214,9224,4338,723,980
Weighted AllAvailableModels Ensemble,test,val_max_f1,False,0.6,0.7730071659898385,0.20999999999999996,0.21744749596122778,0.39518496770405165,0.8214127709777319,0.28053355564818677,11140,2422,1030,673
Weighted AllAvailableModels Ensemble (recall target),test,val_recall_0.6,True,0.6,0.7730071659898385,0.16499999999999998,0.18178526163317038,0.5895478567234292,0.6667895590620853,0.27788541378355935,9043,4519,699,1004
Stacking Logistic Regression C=0.1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.019711875007487833,0.58,0.21641274238227146,0.3669994128009395,0.8331367055006637,0.27227183620126333,11299,2263,1078,625
Stacking Logistic Regression C=0.1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.019711875007487833,0.49499999999999994,0.18211104794390753,0.5642982971227246,0.6817578528240672,0.27535816618911174,9246,4316,742,961
Stacking Logistic Regression C=1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.013527709001209587,0.58,0.21641274238227146,0.3669994128009395,0.8331367055006637,0.27227183620126333,11299,2263,1078,625
Stacking Logistic Regression C=1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.013527709001209587,0.49499999999999994,0.18176648976497348,0.5631238990017616,0.6816841173868161,0.2748244734202608,9245,4317,744,959
Stacking Logistic Regression C=10 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.014157707977574319,0.58,0.21641274238227146,0.3669994128009395,0.8331367055006637,0.27227183620126333,11299,2263,1078,625
Stacking Logistic Regression C=10 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.014157707977574319,0.49499999999999994,0.1818526236029551,0.5637110980622431,0.6815366465123138,0.2749928387281581,9243,4319,743,960
Stacking LightGBM Meta (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.2037507500499487,0.62,0.24,0.29947152084556666,0.8809172688394042,0.2664576802507837,11947,1615,1193,510
Stacking LightGBM Meta (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.2037507500499487,0.5199999999999999,0.18803073190456934,0.546095126247798,0.7038784839994101,0.27974131448338097,9546,4016,773,930
