model,split,threshold_source,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,tn,fp,fn,tp
Logistic Regression,test,val_max_f1,0.575,0.6572818009077382,0.20860176062317193,0.749492302653128,0.19777714448560843,0.40751614797416325,0.26630851880276285,10747,2815,1009,694
Logistic Regression (recall target),test,val_recall_0.6,0.4799999999999999,0.6572818009077382,0.20860176062317193,0.6257451686865378,0.16594468510496502,0.5848502642395772,0.25853341985723555,8556,5006,707,996
XGBoost,test,val_max_f1,0.565,0.6725729415797984,0.22296114085313068,0.7690140845070422,0.21054302953318513,0.3893129770992366,0.27328936521022257,11076,2486,1040,663
XGBoost (recall target),test,val_recall_0.6,0.4749999999999999,0.6725729415797984,0.22296114085313068,0.6332132328856862,0.1732640053673264,0.6065766294773929,0.2695368558382257,8633,4929,670,1033
XGBoost Calibrated,test,val_max_f1,0.145,0.670972020973597,0.21110662078031076,0.7601048149361284,0.2062968515742129,0.40399295361127424,0.27312425565700676,10915,2647,1015,688
XGBoost Calibrated (recall target),test,val_recall_0.6,0.10999999999999999,0.670972020973597,0.21110662078031076,0.6333442515558467,0.17299294591871012,0.6048150322959484,0.26903487005354576,8638,4924,673,1030
Residual MLP Focal,test,val_max_f1,0.44499999999999995,0.6720214412086966,0.21830927963686622,0.756043236161153,0.20565103408097873,0.41456253669994125,0.2749221183800623,10835,2727,997,706
Residual MLP Focal (recall target),test,val_recall_0.6,0.4149999999999999,0.6720214412086966,0.21830927963686622,0.6391745823779889,0.17383850505743184,0.5954198473282443,0.26910828025477707,8743,4819,689,1014
TabTransformer,test,val_max_f1,0.43499999999999994,0.6529990406166656,0.20191168422846273,0.6957091385522437,0.18077256944444445,0.4891368173810922,0.26398352083663446,9787,3775,870,833
TabTransformer (recall target),test,val_recall_0.6,0.42499999999999993,0.6529990406166656,0.20191168422846273,0.612381264330167,0.16427660930529,0.6054022313564298,0.2584283744830179,8317,5245,672,1031
TabM-Style Ensemble MLP,test,val_max_f1,0.4799999999999999,0.6532747583291818,0.20174326802682524,0.7737962659679004,0.1959694232105629,0.3311802701115678,0.24623444662737393,11248,2314,1139,564
TabM-Style Ensemble MLP (recall target),test,val_recall_0.6,0.4599999999999999,0.6532747583291818,0.20174326802682524,0.6214215525712414,0.16710225416530547,0.6007046388725779,0.2614696485623003,8463,5099,680,1023
TabNet,test,val_max_f1,0.5449999999999999,0.6517597830212444,0.20158233635027223,0.737373075663282,0.1890507011866235,0.41162654139753374,0.2591018296063574,10555,3007,1002,701
TabNet (recall target),test,val_recall_0.6,0.48499999999999993,0.6517597830212444,0.20158233635027223,0.6338028169014085,0.16806148590947909,0.5778038755137992,0.26038634559407253,8691,4871,719,984
Weighted XGBoost+TabNet Ensemble (xgb=0.84),test,val_max_f1,0.5549999999999999,0.6742055775164675,0.22494609221915007,0.7632492630199803,0.20681190549248235,0.3957721667645332,0.27166465135026197,10977,2585,1029,674
Weighted XGBoost+TabNet Ensemble (xgb=0.84) (recall target),test,val_recall_0.6,0.4799999999999999,0.6742055775164675,0.22494609221915007,0.6454634785456927,0.1766346992153444,0.5948326482677627,0.27238504974455496,8840,4722,690,1013
Weighted XGBoost+TabTransformer Ensemble (xgb=0.70),test,val_max_f1,0.5249999999999999,0.6736125333097566,0.2231779409970635,0.7646249590566656,0.20869297163995068,0.39753376394597767,0.27370123307054783,10995,2567,1026,677
Weighted XGBoost+TabTransformer Ensemble (xgb=0.70) (recall target),test,val_recall_0.6,0.4649999999999999,0.6736125333097566,0.2231779409970635,0.6488699639698657,0.177683765203596,0.5918966529653552,0.27331887201735355,8897,4665,695,1008
Weighted XGBoost+TabM Ensemble (xgb=0.84),test,val_max_f1,0.5449999999999999,0.6732683624402853,0.2229978479117981,0.7619390763183753,0.20751287488639805,0.4022313564298297,0.27378097521982414,10946,2616,1018,685
Weighted XGBoost+TabM Ensemble (xgb=0.84) (recall target),test,val_recall_0.6,0.4799999999999999,0.6732683624402853,0.2229978479117981,0.6507042253521127,0.17730748710652677,0.5854374633000587,0.2721812721812722,8936,4626,706,997
Stacking Logistic Regression (XGBoost+TabNet+TabTransformer+TabM+MLP),test,val_max_f1,0.575,0.6779531821971915,0.22577757658033137,0.7503439240091713,0.20326576576576577,0.42395772166764534,0.2747859181731684,10732,2830,981,722
Stacking Logistic Regression (XGBoost+TabNet+TabTransformer+TabM+MLP) (recall target),test,val_recall_0.6,0.5099999999999999,0.6779531821971915,0.22577757658033137,0.6609891909597118,0.1817015034836817,0.5819142689371697,0.27693167528293977,9099,4463,712,991
