model,split,threshold_source,recall_target,min_recall,runtime_seconds,threshold,roc_auc,pr_auc,test_roc_auc,test_pr_auc,accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,ranking,rank
LightGBM Tuned,test,val_max_f1,False,0.6,0.8305709999985993,0.5199999999999999,0.6346749226006192,0.21608482347292335,0.6346749226006192,0.21608482347292335,0.8466666666666667,0.25,0.17647058823529413,0.9323308270676691,0.20689655172413793,124,9,14,3,test_pr_auc,1
LightGBM Tuned (recall target),test,val_recall_0.6,True,0.6,0.8305709999985993,0.5199999999999999,0.6346749226006192,0.21608482347292335,0.6346749226006192,0.21608482347292335,0.8466666666666667,0.25,0.17647058823529413,0.9323308270676691,0.20689655172413793,124,9,14,3,test_pr_auc,2
CatBoost Tuned,test,val_max_f1,False,0.6,2.344002542027738,0.38499999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.7333333333333333,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8,test_pr_auc,3
CatBoost Tuned (recall target),test,val_recall_0.6,True,0.6,2.344002542027738,0.37999999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.6866666666666666,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8,test_pr_auc,4
Weighted XGBoost+CatBoost Ensemble,test,val_max_f1,False,0.6,0.009398582973517478,0.38499999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.7333333333333333,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8,test_pr_auc,5
Weighted XGBoost+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009398582973517478,0.37999999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.6866666666666666,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8,test_pr_auc,6
Weighted XGBoost+LightGBM+CatBoost Ensemble,test,val_max_f1,False,0.6,0.01901270804228261,0.38499999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.7333333333333333,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8,test_pr_auc,7
Weighted XGBoost+LightGBM+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.01901270804228261,0.37999999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.6866666666666666,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8,test_pr_auc,8
Weighted AllAvailableModels Ensemble,test,val_max_f1,False,0.6,0.019423666992224753,0.38499999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.7333333333333333,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8,test_pr_auc,9
Weighted AllAvailableModels Ensemble (recall target),test,val_recall_0.6,True,0.6,0.019423666992224753,0.37999999999999995,0.676470588235294,0.21337169373563653,0.676470588235294,0.21337169373563653,0.6866666666666666,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8,test_pr_auc,10
Stacking Logistic Regression C=10 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.0016135000041685998,0.5549999999999999,0.551968155683326,0.19630005893028232,0.551968155683326,0.19630005893028232,0.72,0.16216216216216217,0.35294117647058826,0.7669172932330827,0.2222222222222222,102,31,11,6,test_pr_auc,11
Stacking Logistic Regression C=10 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.0016135000041685998,0.5549999999999999,0.551968155683326,0.19630005893028232,0.551968155683326,0.19630005893028232,0.72,0.16216216216216217,0.35294117647058826,0.7669172932330827,0.2222222222222222,102,31,11,6,test_pr_auc,12
XGBoost Tuned,test,val_max_f1,False,0.6,4.011218167026527,0.39499999999999996,0.6377708978328173,0.19588953651237445,0.6377708978328173,0.19588953651237445,0.8333333333333334,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2,test_pr_auc,13
XGBoost Tuned (recall target),test,val_recall_0.6,True,0.6,4.011218167026527,0.39499999999999996,0.6377708978328173,0.19588953651237445,0.6377708978328173,0.19588953651237445,0.8333333333333334,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2,test_pr_auc,14
Weighted XGBoost+LightGBM Ensemble,test,val_max_f1,False,0.6,0.010398334008641541,0.39499999999999996,0.6377708978328173,0.19588953651237445,0.6377708978328173,0.19588953651237445,0.8333333333333334,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2,test_pr_auc,15
Weighted XGBoost+LightGBM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.010398334008641541,0.39499999999999996,0.6377708978328173,0.19588953651237445,0.6377708978328173,0.19588953651237445,0.8333333333333334,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2,test_pr_auc,16
Stacking Logistic Regression C=1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.0014322500210255384,0.575,0.5599292348518355,0.19450776108778112,0.5599292348518355,0.19450776108778112,0.74,0.17647058823529413,0.35294117647058826,0.7894736842105263,0.23529411764705882,105,28,11,6,test_pr_auc,17
Stacking Logistic Regression C=1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.0014322500210255384,0.5249999999999999,0.5599292348518355,0.19450776108778112,0.5599292348518355,0.19450776108778112,0.6933333333333334,0.14634146341463414,0.35294117647058826,0.7368421052631579,0.20689655172413793,98,35,11,6,test_pr_auc,18
Stacking LightGBM Meta (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.008200625015888363,0.6499999999999999,0.5356037151702786,0.190097194839411,0.5356037151702786,0.190097194839411,0.7933333333333333,0.15,0.17647058823529413,0.8721804511278195,0.16216216216216217,116,17,14,3,test_pr_auc,19
Stacking LightGBM Meta (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.008200625015888363,0.6699999999999999,0.5356037151702786,0.190097194839411,0.5356037151702786,0.190097194839411,0.7933333333333333,0.1111111111111111,0.11764705882352941,0.8796992481203008,0.11428571428571428,117,16,15,2,test_pr_auc,20
Stacking Logistic Regression C=0.1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM),test,val_max_f1,False,0.6,0.0018854159861803055,0.5299999999999999,0.5824856258292791,0.182842785901468,0.5824856258292791,0.182842785901468,0.72,0.14285714285714285,0.29411764705882354,0.7744360902255639,0.19230769230769232,103,30,12,5,test_pr_auc,21
Stacking Logistic Regression C=0.1 (Logistic Regression+XGBoost+XGBoost Calibrated+LightGBM+CatBoost+MLP+TabNet+TabTransformer+TabM) (recall target),test,val_recall_0.6,True,0.6,0.0018854159861803055,0.5299999999999999,0.5824856258292791,0.182842785901468,0.5824856258292791,0.182842785901468,0.72,0.14285714285714285,0.29411764705882354,0.7744360902255639,0.19230769230769232,103,30,12,5,test_pr_auc,22
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,True,0.6,0.0007589590386487544,0.05,0.6452896948252987,0.16384204031262853,0.6452896948252987,0.16384204031262853,0.18,0.12142857142857143,1.0,0.07518796992481203,0.21656050955414013,10,123,0,17,test_pr_auc,23
XGBoost Tuned Calibrated,test,val_max_f1,False,0.6,0.0007589590386487544,0.10999999999999999,0.6452896948252987,0.16384204031262853,0.6452896948252987,0.16384204031262853,0.8333333333333334,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2,test_pr_auc,24
Residual MLP Focal (recall target),test,val_recall_0.6,True,0.6,0.8373923329636455,0.4149999999999999,0.5900044228217602,0.15714539681563608,0.5900044228217602,0.15714539681563608,0.6466666666666666,0.17857142857142858,0.5882352941176471,0.6541353383458647,0.273972602739726,87,46,7,10,test_pr_auc,25
Residual MLP Focal,test,val_max_f1,False,0.6,0.8373923329636455,0.42999999999999994,0.5900044228217602,0.15714539681563608,0.5900044228217602,0.15714539681563608,0.6733333333333333,0.13636363636363635,0.35294117647058826,0.7142857142857143,0.19672131147540983,95,38,11,6,test_pr_auc,26
Weighted XGBoost+TabM Ensemble,test,val_max_f1,False,0.6,0.009048874955624342,0.38999999999999996,0.5961963732861566,0.14843050679960612,0.5961963732861566,0.14843050679960612,0.5066666666666667,0.13924050632911392,0.6470588235294118,0.48872180451127817,0.22916666666666666,65,68,6,11,test_pr_auc,27
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009048874955624342,0.38999999999999996,0.5961963732861566,0.14843050679960612,0.5961963732861566,0.14843050679960612,0.5066666666666667,0.13924050632911392,0.6470588235294118,0.48872180451127817,0.22916666666666666,65,68,6,11,test_pr_auc,28
Logistic Regression (recall target),test,val_recall_0.6,True,0.6,0.011921375000383705,0.09999999999999999,0.6059265811587793,0.1390922287597069,0.6059265811587793,0.1390922287597069,0.46,0.13636363636363635,0.7058823529411765,0.42857142857142855,0.22857142857142856,57,76,5,12,test_pr_auc,29
Logistic Regression,test,val_max_f1,False,0.6,0.011921375000383705,0.725,0.6059265811587793,0.1390922287597069,0.6059265811587793,0.1390922287597069,0.8,0.0,0.0,0.9022556390977443,0.0,120,13,17,0,test_pr_auc,30
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,True,0.6,0.00939516699872911,0.3549999999999999,0.5479876160990713,0.13522888087817977,0.5479876160990713,0.13522888087817977,0.5133333333333333,0.14102564102564102,0.6470588235294118,0.49624060150375937,0.23157894736842105,66,67,6,11,test_pr_auc,31
Weighted XGBoost+TabTransformer Ensemble,test,val_max_f1,False,0.6,0.00939516699872911,0.4049999999999999,0.5479876160990713,0.13522888087817977,0.5479876160990713,0.13522888087817977,0.6733333333333333,0.13636363636363635,0.35294117647058826,0.7142857142857143,0.19672131147540983,95,38,11,6,test_pr_auc,32
Weighted XGBoost+TabNet Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009323541016783565,0.48999999999999994,0.5183547103051747,0.13307384532828917,0.5183547103051747,0.13307384532828917,0.58,0.10344827586206896,0.35294117647058826,0.6090225563909775,0.16,81,52,11,6,test_pr_auc,33
Weighted XGBoost+BestDeep(TabNet) Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009049166983459145,0.48999999999999994,0.5183547103051747,0.13307384532828917,0.5183547103051747,0.13307384532828917,0.58,0.10344827586206896,0.35294117647058826,0.6090225563909775,0.16,81,52,11,6,test_pr_auc,34
Weighted XGBoost+TabNet Ensemble,test,val_max_f1,False,0.6,0.009323541016783565,0.5149999999999999,0.5183547103051747,0.13307384532828917,0.5183547103051747,0.13307384532828917,0.6866666666666666,0.10526315789473684,0.23529411764705882,0.7443609022556391,0.14545454545454545,99,34,13,4,test_pr_auc,35
Weighted XGBoost+BestDeep(TabNet) Ensemble,test,val_max_f1,False,0.6,0.009049166983459145,0.5149999999999999,0.5183547103051747,0.13307384532828917,0.5183547103051747,0.13307384532828917,0.6866666666666666,0.10526315789473684,0.23529411764705882,0.7443609022556391,0.14545454545454545,99,34,13,4,test_pr_auc,36
TabM-Style Ensemble MLP,test,val_max_f1,False,0.6,0.07504074997268617,0.4049999999999999,0.5701017249004865,0.13162471611266974,0.5701017249004865,0.13162471611266974,0.54,0.12857142857142856,0.5294117647058824,0.5413533834586466,0.20689655172413793,72,61,8,9,test_pr_auc,37
TabM-Style Ensemble MLP (recall target),test,val_recall_0.6,True,0.6,0.07504074997268617,0.4049999999999999,0.5701017249004865,0.13162471611266974,0.5701017249004865,0.13162471611266974,0.54,0.12857142857142856,0.5294117647058824,0.5413533834586466,0.20689655172413793,72,61,8,9,test_pr_auc,38
TabTransformer (recall target),test,val_recall_0.6,True,0.6,0.3538580830208957,0.37999999999999995,0.5121627598407784,0.12929803076537874,0.5121627598407784,0.12929803076537874,0.54,0.1388888888888889,0.5882352941176471,0.5338345864661654,0.2247191011235955,71,62,7,10,test_pr_auc,39
TabTransformer,test,val_max_f1,False,0.6,0.3538580830208957,0.43499999999999994,0.5121627598407784,0.12929803076537874,0.5121627598407784,0.12929803076537874,0.68,0.08108108108108109,0.17647058823529413,0.7443609022556391,0.1111111111111111,99,34,14,3,test_pr_auc,40
TabNet (recall target),test,val_recall_0.6,True,0.6,0.5157572500174865,0.5299999999999999,0.46837682441397616,0.10943850929373033,0.46837682441397616,0.10943850929373033,0.5133333333333333,0.1,0.4117647058823529,0.5263157894736842,0.16091954022988506,70,63,10,7,test_pr_auc,41
TabNet,test,val_max_f1,False,0.6,0.5157572500174865,0.565,0.46837682441397616,0.10943850929373033,0.46837682441397616,0.10943850929373033,0.6866666666666666,0.10526315789473684,0.23529411764705882,0.7443609022556391,0.14545454545454545,99,34,13,4,test_pr_auc,42
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,True,0.6,0.00939516699872911,0.3549999999999999,0.5479876160990713,0.13522888087817977,0.5479876160990713,0.13522888087817977,0.5133333333333333,0.14102564102564102,0.6470588235294118,0.49624060150375937,0.23157894736842105,66,67,6,11,precision_at_recall_0.6,1
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009048874955624342,0.38999999999999996,0.5961963732861566,0.14843050679960612,0.5961963732861566,0.14843050679960612,0.5066666666666667,0.13924050632911392,0.6470588235294118,0.48872180451127817,0.22916666666666666,65,68,6,11,precision_at_recall_0.6,2
Logistic Regression (recall target),test,val_recall_0.6,True,0.6,0.011921375000383705,0.09999999999999999,0.6059265811587793,0.1390922287597069,0.6059265811587793,0.1390922287597069,0.46,0.13636363636363635,0.7058823529411765,0.42857142857142855,0.22857142857142856,57,76,5,12,precision_at_recall_0.6,3
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,True,0.6,0.0007589590386487544,0.05,0.6452896948252987,0.16384204031262853,0.6452896948252987,0.16384204031262853,0.18,0.12142857142857143,1.0,0.07518796992481203,0.21656050955414013,10,123,0,17,precision_at_recall_0.6,4
