model,split,threshold_source,recall_target,min_recall,runtime_seconds,threshold,precision,recall,specificity,f1,tn,fp,fn,tp
Logistic Regression,test,val_max_f1,False,0.6,0.011921375000383705,0.725,0.0,0.0,0.9022556390977443,0.0,120,13,17,0
Logistic Regression (recall target),test,val_recall_0.6,True,0.6,0.011921375000383705,0.09999999999999999,0.13636363636363635,0.7058823529411765,0.42857142857142855,0.22857142857142856,57,76,5,12
XGBoost Tuned,test,val_max_f1,False,0.6,4.011218167026527,0.39499999999999996,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2
XGBoost Tuned (recall target),test,val_recall_0.6,True,0.6,4.011218167026527,0.39499999999999996,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2
XGBoost Tuned Calibrated,test,val_max_f1,False,0.6,0.0007589590386487544,0.10999999999999999,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2
XGBoost Tuned Calibrated (recall target),test,val_recall_0.6,True,0.6,0.0007589590386487544,0.05,0.12142857142857143,1.0,0.07518796992481203,0.21656050955414013,10,123,0,17
LightGBM Tuned,test,val_max_f1,False,0.6,0.8305709999985993,0.5199999999999999,0.25,0.17647058823529413,0.9323308270676691,0.20689655172413793,124,9,14,3
LightGBM Tuned (recall target),test,val_recall_0.6,True,0.6,0.8305709999985993,0.5199999999999999,0.25,0.17647058823529413,0.9323308270676691,0.20689655172413793,124,9,14,3
CatBoost Tuned,test,val_max_f1,False,0.6,2.344002542027738,0.38499999999999995,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8
CatBoost Tuned (recall target),test,val_recall_0.6,True,0.6,2.344002542027738,0.37999999999999995,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8
Residual MLP Focal,test,val_max_f1,False,0.6,0.8373923329636455,0.42999999999999994,0.13636363636363635,0.35294117647058826,0.7142857142857143,0.19672131147540983,95,38,11,6
Residual MLP Focal (recall target),test,val_recall_0.6,True,0.6,0.8373923329636455,0.4149999999999999,0.17857142857142858,0.5882352941176471,0.6541353383458647,0.273972602739726,87,46,7,10
TabTransformer,test,val_max_f1,False,0.6,0.3538580830208957,0.43499999999999994,0.08108108108108109,0.17647058823529413,0.7443609022556391,0.1111111111111111,99,34,14,3
TabTransformer (recall target),test,val_recall_0.6,True,0.6,0.3538580830208957,0.37999999999999995,0.1388888888888889,0.5882352941176471,0.5338345864661654,0.2247191011235955,71,62,7,10
TabM-Style Ensemble MLP,test,val_max_f1,False,0.6,0.07504074997268617,0.4049999999999999,0.12857142857142856,0.5294117647058824,0.5413533834586466,0.20689655172413793,72,61,8,9
TabM-Style Ensemble MLP (recall target),test,val_recall_0.6,True,0.6,0.07504074997268617,0.4049999999999999,0.12857142857142856,0.5294117647058824,0.5413533834586466,0.20689655172413793,72,61,8,9
TabNet,test,val_max_f1,False,0.6,0.5157572500174865,0.565,0.10526315789473684,0.23529411764705882,0.7443609022556391,0.14545454545454545,99,34,13,4
TabNet (recall target),test,val_recall_0.6,True,0.6,0.5157572500174865,0.5299999999999999,0.1,0.4117647058823529,0.5263157894736842,0.16091954022988506,70,63,10,7
Weighted XGBoost+TabNet Ensemble,test,val_max_f1,False,0.6,0.009323541016783565,0.5149999999999999,0.10526315789473684,0.23529411764705882,0.7443609022556391,0.14545454545454545,99,34,13,4
Weighted XGBoost+TabNet Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009323541016783565,0.48999999999999994,0.10344827586206896,0.35294117647058826,0.6090225563909775,0.16,81,52,11,6
Weighted XGBoost+LightGBM Ensemble,test,val_max_f1,False,0.6,0.010398334008641541,0.39499999999999996,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2
Weighted XGBoost+LightGBM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.010398334008641541,0.39499999999999996,0.16666666666666666,0.11764705882352941,0.924812030075188,0.13793103448275862,123,10,15,2
Weighted XGBoost+CatBoost Ensemble,test,val_max_f1,False,0.6,0.009398582973517478,0.38499999999999995,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8
Weighted XGBoost+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009398582973517478,0.37999999999999995,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8
Weighted XGBoost+LightGBM+CatBoost Ensemble,test,val_max_f1,False,0.6,0.01901270804228261,0.38499999999999995,0.20512820512820512,0.47058823529411764,0.7669172932330827,0.2857142857142857,102,31,9,8
Weighted XGBoost+LightGBM+CatBoost Ensemble (recall target),test,val_recall_0.6,True,0.6,0.01901270804228261,0.37999999999999995,0.17391304347826086,0.47058823529411764,0.7142857142857143,0.25396825396825395,95,38,9,8
Weighted XGBoost+TabTransformer Ensemble,test,val_max_f1,False,0.6,0.00939516699872911,0.4049999999999999,0.13636363636363635,0.35294117647058826,0.7142857142857143,0.19672131147540983,95,38,11,6
Weighted XGBoost+TabTransformer Ensemble (recall target),test,val_recall_0.6,True,0.6,0.00939516699872911,0.3549999999999999,0.14102564102564102,0.6470588235294118,0.49624060150375937,0.23157894736842105,66,67,6,11
Weighted XGBoost+TabM Ensemble,test,val_max_f1,False,0.6,0.009048874955624342,0.38999999999999996,0.13924050632911392,0.6470588235294118,0.48872180451127817,0.22916666666666666,65,68,6,11
Weighted XGBoost+TabM Ensemble (recall target),test,val_recall_0.6,True,0.6,0.009048874955624342,0.38999999999999996,0.13924050632911392,0.6470588235294118,0.48872180451127817,0.22916666666666666,65,68,6,11
